Name,Etiology,Symptoms
ehlers danlos syndrome,"Genetics
COL5A1 or COL5A2
mutation in 40-50%
gene for type V collagen
important in proper assembly of skin matrix collagen fibrils and basement membrane
less common mutations identified below
Associated conditions
Connective tissue disorder characterized by
hyperelastic/
fragile skin
joint hypermobility
and dislocation
generalized ligamentous laxity
poor wound healing
early onset arthritis
additional features
soft tissue and bone fragility
soft tissue calcification
mitral valve prolapse
aortic root dilatation
developmental dysplasia of the hip
clubfoot
pes planus
scoliosis
high palate
gastroparesis","double-jointedness
easily damaged, bruised, & stretchy skin
easy scarring & poor wound healing
increased joint mobility, joint popping, early arthritis
especially shoulders, patellae, ankles
chronic musculoskeletal pain (50%)"
proximal humerus fracture nonunion and malunion,"Pathophysiology
origin of malunion
initial fracture displacement
secondary displacement
after loss of reduction
failure of internal fixation
humeral head malunion
varus/valgus
impacted (>1cm displacement)
articular surface incongruity (e.g. head split)
greater tuberosity malunion
usually displaced
posterior, superior and externally rotated
lesser tuberosity malunion
usually displaced
medial
Associated conditions
rotator cuff tearing
osteonecrosis of humeral head
glenohumeral joint issues
stiffness
post-traumatic arthritis
subluxation or dislocation
subacromial impingement","pain and weakness
limitations"
necrotizing fasciitis,"Associated conditions
cellulitis
overlying cellulitis may or may not be present","early
localized abscess or cellulitis with rapid progression
minimal swelling
no trauma or discoloration
late findings
severe pain
high fever, chills and rigors
tachycardia"
triplane fractures,"Pathophysiology
mechanism of injury
lateral triplane fractures
results from
supination-external rotation injury
similar to tillaux fractures
medial triplane fractures
results from
adduction injury
pathoanatomy
a complex
SH IV fracture
pattern with components in all three planes
may be 2, 3, or 4 part fractures
sagittal plane - epiphysis is often fractured on the lateral aspect in the
sagittal plane
(same as tillaux fracture) and is seen on the AP radiograph
axial plane - physis is separated
coronal plane - metaphysis is fractured on the posterior aspect in the
coronal plane and is seen on the lateral radiograph
Associated conditions
fibular fractures
occurs in 50%
typically spiral fracture located proximal to the physis in children nearing skeletal maturity
remains unstable after fixation of tibia, so fixation of fibula is usually necessary
ipsilateral tibial shaft fractures","pain
inability to bear weight"
tka instability,"Types
extension (varus-valgus) instability
flexion (anteroposterior) instability
mid-flexion instability
genu recurvatum
global, multiply-operated instability","pain, instability or both
timeline as to start of symptoms, what worsens/improves"
synovial facet cyst,"Pathophysiology
possible etiologies
trauma (controversial)
microinstability of the facet leading to
extruded synovium through joint capsules
myxoid degeneration of collagen tissue
proliferation of fibroblasts with increased hyaluronic acid production
cyst composition
ganglion cysts
flavum cysts
serous contents
mucoid contents
hemorrhagic contents
Associated conditions
degenerative spondylolisthesis","mechanical back pain
radicular symptoms
(leg pain)
rapid onset or sudden deterioration suggests a facet cyst hematoma
neurogenic claudication (buttock/leg pain with walking)"
cervical radiculopathy,"Pathophysiology
causes
degenerative cervical spondylosis
discosteophyte complex and loss of disc height
chondrosseous spurs of facet and uncovertebral joints
disc herniation (""soft disc"")
intraforaminal
radicular pain predominantly
posterolateral
most common
between posterior edge of uncinate and lateral edge of PLL
mostly motor symptoms
midline herniation
usually presents with myelopathic symptoms
double-crush phenomenon
combined cervical root compression and distal nerve compression
decreased axoplasmic flow from root compression predisposes downstream nerves to peripheral entrapment syndromes
rare causes
intraspinal/extraspinal tumors
trauma with nerve root avulsion
synovial cysts
meningeal cysts
dural arteriovenous fistulae
tortuous vertebral arteries
neural compression
nerve root irritation caused by
direct compression
irritation by chemical pain mediators
including
IL-1
IL-6
substance P
neuropeptide Y
calcitonin gene-relate peptide
bradykinin
TNF alpha
prostaglandins
affects the nerve root below
C6/7 disease will affect the C7 nerve root","occipital headache (
common)
trapezial or interscapular pain
neck pain
may present with insidious onset of neck pain that is worse with vertebral motion
origin may be discogenic, or mechanical due to facet arthrosis
pain may radiate to shoulders
unilateral arm pain
aching pain radiating down arm
often global and nondermatomal
unilateral dermatomal numbness & tingling
numbness/tingling in thumb (C6)
numbness/tingling in middle finger (C7)
unilateral weakness
difficulty with overhead activities (C7)
difficulty with grip strength (C7)"
capitellum fractures,"Pathophysiology
mechanism of injury
typically, low-energy fall on outstretched hand
direct,
axial compression with the elbow in a semi-flexed position
creates shear forces
pathoanatomy
radiocapitellar joint is an important static stabilizer of the elbow
capitellar fracture can cause
potential block to motion and instability
due to loss of the radiocapitellar articulation
Associated conditions
concomitant injuries to
radial head
and/or
LUCL
can occur up to 60% of the time","elbow pain, deformity
swelling
wrist pain may also occur"
obstetric brachial plexopathy erbs klumpkes palsy,"Cause
usually a stretching injury from a difficult vaginal delivery
some rare cases reported following C-sections
Associated orthopedic conditions
glenohumeral dysplasia
increased glenoid retroversion, humeral head flattening, posterior humeral head subluxation
develops in 70% of infants with obstetric brachial plexopathy
caused by Internal rotation contracture (loss of external rotation)
elbow flexion contracture
etiology is unclear, likely due to persistent relative triceps weakness (C7) compared with biceps (C5-6)
clavicle and humerus fractures
torticollis",lack of active hand and arm motion
congenital radial ulnar synostosis,"Pathophysiology
forearm begins as a single cartilaginous anlage and
divides from distal to proximal
into the radius and ulna in the
7th week
in utero
failure of differentiation
results in synostosis in
proximal aspect of the forearm
Genetics
familial cases with autosomal dominant inheritance
associated with chromosomal abnormalities, particularly
duplication of sex chromosomes
20% with positive family history
Associated syndromes (30%)
Apert syndrome (acrocephalosyndactyly)
Carpenter's syndrome (acropolysyndactlyly)
Arthrogryposis
Mandibulofacial dysostosis
Klinefelter's syndrome (XXY) and other sex chromosome abnormalities","painless
most commonly
asymptomatic, noticed by parents and teachers
difficulty with specific tasks
keyboard, tabletop activities - deficient pronation
eating, washing face, catching a ball - deficit supination"
lyme disease,"Pathophysiology
mechanism of transmission
zoonotic - transmitted from nonhuman animals to humans
mice, squirrels, shrews, and other small mammals are carriers of B burgdorferi
Ixodes tick feeds on these small animals and spirochete is carried in its gut
humans become infected when bacteria is injected into the skin as ticks attach to feed
transmission takes 48-72 hours
pathophysiology
caused by B burgdorferi
tick saliva with spirochete disrupt local immune mechanisms
create a protective environment and the bacteria replicate
spirochetes multiply and expand within the dermis, causing erythema migrans
rash caused by the host inflammatory response
the spirochete then undergoes hematogenous dissemination to multiple sites
skin
central nervous system
joints
induces an inflammatory response
synovial hypertrophy
vascular proliferation
infiltration of mononuclear cells
immune complexes accumulate in synovial fluid
pathobiology
B burgdorferi induces chondrocytes to produce matrix metalloproteinases
causes degradation of extracellular matrix proteins, collagen, and proteoglycans
may contribute to cartilage damage","fever, headache, myalgia, arthralgia, fatigue
neurologic symptoms
headache, neck stiffness, encephalitis
facial
CN VII palsy
bilateral in 50% (unlike Bell's palsy)
polyradiculoneuropathy
numbness, paresthesia, weakness, cramps
carditis (complete heart block)
acute joint pain
acute or chronic arthritis"
radius and ulnar shaft fractures,"Pathophysiology
mechanism of injury
high energy transfer required to fracture the diaphyseal section of both bones of the forearm
direct trauma
direct blow to forearm
indirect trauma (high-energy bending moments)
motor vehicle accidents
falls from height
axial load applied to the forearm through the hand
sports injuries
low-energy diaphyseal radius and ulna fractures should raise suspicion for injuries to the wrist and elbow.
Associated conditions
elbow and DRUJ injuries
Galeazzi fractures
Monteggia fractures
Essex-Lopresti injuries
compartment syndrome
evaluate compartment pressures if concern for compartment syndrome","pain and swelling
loss of forearm and hand function"
undifferentiated pleomorphic sarcoma,"Genetics
mutations
programmed cell death protein 1 (PD-1) expression in 30%","may present with fever
common symptoms
slow-growing, painless mass
location
lower > upper extremities > retroperitoneum"
ulnocarpal abutment syndrome,"Pathoanatomy
in a wrist with
+2 mm ulnar variance
approximately
40% of the load goes to the ulna
60% to the radius
in a normal
neutral wrist
approximately
20% of the load goes to the ulna
80% to the radius
Associated conditions
positive ulnar variance can be seen in the setting of:
scapholunate dissociation
TFCC tears
lunotriquetral ligament tears
radial shortening from previous Colles fracture","pain on dorsal side of DRUJ
increased pain with ulnar deviation of wrist
pain with axial loading
ulna sided wrist pain"
clavicle fractures  midshaft,"Pathophysiology
mechanism of injury
fall onto lateral aspect of shoulder (85%)
direct impact to clavicle
pathoanatomy
junction of the outer and middle third is the thinnest part of the bone
prone to fracture with axial loading
only area not protected by or reinforced with muscle and ligamentous attachments
displaced fractures
medial fragment pulled
posterosuperiorly by sternocleidomastoid muscle
lateral fragment pulled
inferomedially by pectoralis major and and weight of arm
open fractures usually result from medial fragment ""buttonholing"" through platysma
Associated conditions
medical
pneumothorax
closed head injury
orthopedic
ipsilateral scapular fracture (floating shoulder)
scapulothoracic dissociation
traction injury
significantly distracted/widened fracture fragments
widened interval between scapula and spine
brachial plexus or vascular injury
rib fracture
neurovascular injury",acute onset of anterior shoulder pain or directly over clavicle
distal humerus fractures,"Pathophysiology
distal humerus fractures are traumatic injuries that include
supracondylar fractures
single column (condyle) fractures
bicolumnar fractures
coronal shear fractures
mechanism
low energy falls in elderly
high energy impact in younger population
pathoanatomy
elbow position affects fracture type
elbow flexed <
90°
axial load leads to transcolumnar fracture
direct posterior blow leads to olecranon fracture with or without distal humerus involvement
elbow flexed
> 90°
may lead to intercondylar fracture
Associated injuries
elbow dislocation
terrible triad injury
floating elbow
Volkmann contracture
results from missed forearm compartment syndrome",elbow pain and swelling
anterolateral bowing and congenital pseudoarthrosis of tibia,"Pathophysiology
pseudoarthrosis in not congenital, but in fact develops post-natally due to fracture non-union
Three types of tibial bowing exist in children
anterolateral bowing
(this topic)
posteromedial bowing
(physiologic)
anteromedial bowing
(fibular hemimelia)
Anterolateral bowing is a continuum of disease that can be divided into
anterolateral bowing of tibia
congenital pseudarthrosis of tibia
Associated conditions
neurofibromatosis type I
is found in 50-55% of patients with anterolateral bowing
only 6-10% of patients with neurofibromatosis will have anterolateral tibial bowing",majority present with bowing in the first year of life
posterior labral tear,"Pathophysiology
repetitive microtrauma
to the posterior capsulolabral complex
most common mechanism
posteriorly directed force with the arm in a flexed, internally rotated and adducted position
glenoid retroversion
patients with increased glenoid retroversion (~17°) were 6x more likely to experience posterior instability compared to those with less glenoid retroversion (~7°)
Associated injuries
Kim lesion
an
incomplete and sometimes concealed
avulsion of posteroinferior labrum","vague, nonspecific posterior shoulder pain
is the most common symptoms
worsens with provocative activities that apply a posteriorly directed force to the shoulder
ex: pushing heavy doors, bench press, push-ups
clicking
or
popping
in the shoulder with range of motion
sense of instability
less common
pain during throwing
late cocking phase"
lumbar spinal stenosis,"Mechanism
Narrowing of the lumbar spinal canal can be due to
bony structures
facet osteophytes
uncinate spur
(posterior vertebral body osteophyte)
spondylolisthesis
soft tissue structures
herniated or
bulging discs
hypertrophy or buckling of the
ligamentum flavum
synovial facet cysts
Pathophysiology
cell, water, and proteoglycan content in the nucleus pulposus decreases with age
degeneration of the intervertebral disk leads to diminished disk height and buckling/bulding of the anulus fibrosus
anterior spinal column begins to have decreased ability to absorb stress, leading to an abnormal transfer of force to the posterior elements
increased stress through the facets leads to facet joint hypertrophy, osteophyte formation, and ligamentum flavum buckling and hypertrophy
combined changes lead to a narrowing of the spinal canal and compression of the neural elements
Associated conditions
degenerative spondylolisthesis
degenerative scoliosis
cauda equina syndrome
rare","back pain
referred buttock pain
leg pain
often unilateral
neurogenic claudication
pain worse with extension (walking, standing upright)
pain relieved with flexion (sitting, leaning over shopping cart, sleeping in fetal position)
weakness
bladder disturbances
recurrent UTI present in up to 10% due to autonomic sphincter dysfunction
cauda equina syndrome (rare)"
cubital tunnel syndrome,"Pathophysiology
Cubital tunnel syndrome results from compression and traction on the ulnar nerve
Sites of entrapment
most common
between the
two heads of FCU/aponeurosis
(most common site)
within arcade of Struthers (
hiatus in medial intermuscular septum)
between Osborne's ligament and MCL
less common sites of compression include
medial head of triceps
medial intermuscular septum
medial epicondyle
fascial bands within FCU
anconeus epitrochlearis (anomalous muscle from the medial olecranon to the medial epicondyle)
aponeurosis of FDS proximal edge
external sources of compression
fractures and medial epicondyle nonunions
osteophytes
heterotopic ossification
tumors and ganglion cysts
post-traumatic
Associated conditions
cubitus varus or valgus deformities
medial epicondylitis
burns
elbow contracture release","paresthesias
of small finger, ulnar half of ring finger, and ulnar dorsal hand
exacerbating activities include
cell phone use (excessive flexion)
occupational or athletic activities requiring repetitive elbow flexion and valgus stress
night symptoms
caused by sleeping with arm in flexion"
leg compartment syndrome,"Pathophysiology
etiology
trauma
fractures (69% of cases)
crush injuries
contusions
gunshot wounds
tight casts, dressings, or external wrappings
extravasation of IV infusion
burns
postischemic swelling
bleeding disorders
arterial injury
pathoanatomy
cascade of events includes
local trauma and soft tissue destruction
bleeding and edema
increased interstitial pressure
vascular occlusion (decreased venous outflow relative to arterial inflow)
myoneural ischemia
Risk factors
diaphyseal fractures
young age (highest prevalence in 12-19 year olds)","pain out of proportion to the clinical situation is usually the first symptom
may be absent in cases of nerve damage
pain is difficult to assess in a polytrauma patient and impossible to assess in a sedated patient
difficult to assess in children (unable to verbalize)"
sacroiliac joint dysfunction,"Pathophysiology
idiopathic mechanism is the most common
believed to be a result of
repetitive trauma to the SI joint
can begin insidiously or acutely
pain is hypothesized to be generated from
ligamentous/capsule tension
extraneous compression or shear forces
hypomobility or hypermobility
increased levels of estrogen or relaxin during third trimester of pregnancy leading to hypermobility of the SI joint
aberrant joint mechanics
myofascial or kinetic chain imbalances
inflammation
intra-articular mechanisms
arthritis
inflammation and degeneration of the SI joint
occurs in nearly 100% of patients with spondyloarthropathies
ankyklosing spondylitis
Reiter's syndrome
results in subchondral sclerosis, subchondral cyts, osteohytes, joint space narrowing, intra-articular gas and ankylosis
infection
usually the result of hematogenous spread
typically unilateral involvement
organisms:
Staphylococcus aureus
Pseudomonas aeruginosa
Cryptococcus organisms
Mycobacterium tuberculosis
predisposing factors:
immunosuppression
endocarditis
IV drug abuse
metabolic
leads to early degeneration of the joint
diseases:
calcium pyrophosphate crystal deposition
gout
ochronosis
hyperparathyroidism
renal osteodystrophy
acromegaly
tumors
primary
very rare for SI joint
most common types:
giant cell tumor
synovial villoadenomas
chondrosarcomas
secondary (metastatic)
most common
pelvis accounts for 40% of all oseous metastasis (2nd to spine)
extra-articular mechanisms
ethesopathy
inflammation of the ligamentous attachements to the SI joint
frequently occurs with spondyloarthropathies
more frequently the posterior ligaments
insufficency fractures
osteoporotic fractures in elderly patients
repetitive trauma in athletes and military recruits
post-traumatic
more common after lateral compression pelvic ring injuries
Genetics
HLA-B27
associated with
ankylosing spondylitis
Associated conditions
orthopaedic conditions
lumbar spinal fusion
post-traumatic arthritis
metastatic tumors
medical conditions & comorbidities
anklyosing spondylitis
gout
pseudogout
infections","pain patterns
pain usually present
just inferior to the posterior superior iliac spine
frequent pain referral area of other spine pathologies
only 4% of patients will complain of pain above L5
can radiate past the knee and into the foot
wearing a tight fitting belt may improve symptoms"
nail bed injury,"Pathophysiology
mechanisms of injury include
crushing fingertip between two objects
catching finger in a closing door
saw injury
snowblower injury
direct blow from a hammer
Associated conditions
D
IP fractures or dislocations",pain
rhabdomyosarcoma,"Four sub-types of rhabdomyosarcoma
Embryonal
occurs in infants and young children
Alveolar
occurs in adolescents and young adults
Botryoid
occurs in infants and young children, typically in the vagina
aka Sarcoma botryoides or ""bunch of grapes""
Pleomorphic
tends to occur in older patients 40-70yrs
Genetics
alveolar rhabdomyosarcoma has a common t(2;13) translocation
forms Pax3-FKHR fusion protein
associated with a high risk metastatic disease
Metastasis
nodal metastasis
are known to occur with rhabdomyosarcoma
consider sentinel lymph node biopsy as part of treatment
bone marrow biopsy
is required for staging
bone marrow metastases have been shown to portend a worse prognosis","Presentation
rapidly growing painless mass
most lesions occur in the head/neck, genitourinary system, or retroperitoneum"
ain compressive neuropathy,"Pathophysiology
pathophysiology
common causes
transient neuritis (Parsonage-Turner syndrome)
various anatomical cites of compression (see below)
pathoanatomy
potential sites of entrapment of AIN
tendinous edge of deep head of pronator teres
most common cause
fibrous arch of the FDS
thrombosed radial, ulnar or anterior interosseous artery
accessory head of FPL
(Gantzer's muscle)
accessory muscle from FDS to FDP
abberant muscles (FCRB, palmaris profundus)
patient with complete AIN palsy should have no motor function to all muscles innervated by AIN
patients with
Martin-Gruber anastomoses may also present with intrinsic weakness
this is an anomalous anatomy in 15% of population where axons of AIN may cross over and connect to ulnar nerve and innervate other muscle groups (mainly adductor pollicis and dorsal interossei)
Associated conditions
Parsonage-Turner Syndrome
bilateral AIN signs caused by viral brachial neuritis
be suspicious if motor loss is preceded by
intense shoulder pain and viral prodrome","common symptoms
motor deficits without sensory loss
may have vague complaints of deep forearm pain, but unlike other median compression neuropathies (carpal tunnel syndrome and pronator syndrome) pain can be absent
if pain present, typically last only 2-3 weeks"
cervical myelopathy,"Pathophysiology
etiology
degenerative cervical spondylosis (CSM)
most common cause of cervical myelopathy
compression usually caused by:
osteophytes
discosteophyte complex
degenerative spondylolisthesis
hypertrophy of ligamentum flavum
congenital stenosis
symptoms usually begin when congenital narrowing combined with spondylotic degenerative changes in older patients
OPLL
tumor
epidural abscess
trauma
cervical kyphosis
neurologic injury
mechanism of injury
direct cord compression
ischemic injury secondary to compression of anterior spinal artery
Associated conditions
lumbar spinal stenosis
tandem stenosis occurs in lumbar and cervical spine in ~20% of patients","neck pain and stiffness
axial neck pain (often absent)
occipital headache common
extremity paresthesias
diffuse, bilateral, nondermatomal numbness and tingling
weakness and clumsiness
bilateral weakness and decreased manual dexterity (dropping object, difficulty manipulating fine objects)
gait instability
patient feels ""unstable"" on feet
weakness walking up and down stairs
gait changes are most important clinical predictor
urinary retention
rare and only appear late in disease progression
not very useful in diagnosis due to high prevalence of urinary conditions in this patient population"
midfoot arthritis,"Pathophysiology
etiology
idiopathic (primary)
osteoarthritis is most common form of midfoot arthritis
posttraumatic
inflammatory
pathoanatomy
large forces seen by joints that have limited motion
soft tissues that support joints see abnormally high forces over time
results in midfoot collapse",midfoot pain (and in arch) with toe off
tka extensor mechanism rupture,"Causes
intraoperative
avulsion from tibial tubercle
postoperative
manipulation
impingement
trauma",knee pain and weakness
ankle sprain,"Pathophysiology
Mechanism of injury
Inversion type ankle injury on a plantarflexed foot
Recurrent ankle sprains can lead to functional instability
Ankle sprains consist of
high ankle sprain
syndesmosis injury
1-10% of all ankle sprains
low ankle sprain
(this topic)
ATFL and CFL injury
>90% of all ankle sprains
Associated conditions
osteochondral defects
peroneal tendon injuries
subtle cavovarus foot
intraarticular pathology
anterior/anterolateral synovitis (most common)
osteochondral defects of the talus
anterior ankle impingement
deltoid ligament injury (isolated deltoid ligament injuries are very rare)
superficial deltoid: limits talar abduction
deep deltoid: limits external rotation
initally treated conservatively, but may require reconstruction if patient continues to have instability
complex regional pain syndrome
fractures
5th metatarsal base
anterior process of calcaneus
lateral or posterior process of the talus","pain with weight bearing (may or may not be able to bear weight)
swelling and ecchymosis
recurrent instability
catching or popping sensation may occur following recurrent sprains"
epithelioid sarcoma,"Genetics
unknown
Malignancy
regional
lymph node metastases
common
systemic metastasis to lungs can occur","Symptoms
small, firm, painless, slow-growing mass commonly occurring in the upper extremity
Physical exam
3-6 cm firm, painless mass
may have skin ulceration"
adult spinal deformity,"Types
coronal plane imbalance
defined as lateral deviation of the normal vertical line of the spine > 10 degrees
sagittal plane imbalance
defined as radiographic sagittal imbalance of >5cm
Pathoanatomy
degenerative scoliosis results from the asymmetric degeneration of disc space and/or facet joints in the spine.
may occur in the coronal plane (scoliosis) or the sagittal plane (kyphosis/lordosis)
factors contributing to loss of sagittal plane balance
osteoporosis
preexisting scoliosis
iatrogenic instability
degenerative disc disease","low back pain (40-90%)
commonest symptom is low back pain
caused by spondylosis, micro/macro instability, and discogenic pain
more severe and recurrent than general population
neurogenic claudication
pain in lower extremities and buttocks
unlike classic claudication, patients with scoliosis + stenosis
do not obtain relief with sitting / forward flexion
caused by spinal stenosis
stenosis is located on the
concave side
of the curve
radicular leg pain and weakness
caused by foraminal and lateral recess stenosis
worse in concavity of the deformity where there is vertebral body rotation and translation"
