URL,Etiology,Symptoms
https://www.orthobullets.com/pediatrics/4082/brachymetatarsia,"Pathophysiology
cellular biology
due to premature epiphyseal closure of the metatarsals
Associated conditions
Down’s Syndrome
Turner’s Syndrome
Larsen’s Syndrome
Albright’s Syndrome
Diastrophic Dwarfism",discomfort with shoe wearing
https://www.orthobullets.com/shoulder-and-elbow/3134/scapulothoracic-dyskinesis,"Pathophysiology
causes are multifactorial including
neurologic injury
pathologic thoracic spine kyphosis
periscapular muscle fatigue
poor throwing mechanics
secondary to pain (shoulder, neck)
pathoanatomy
scapulothoracic power imbalance leads to
protraction of scapula
leads to alteration of mechanics at glenohumeral joint
excessive stress placed on anterior capsule of shoulder and posterosuperior labrum
athletes have increased risk of injuring
labrum
rotator cuff
capsule","shoulder pain and dysfunction
worse with arm elevation
loss of throwing velocity"
https://www.orthobullets.com/hand/6103/dog-and-cat-bites,"Pathophysiology
mechanism
dog
bites
cause crush, puncture, avulsion, tears and abrasions
large dogs' jaws exert >450lbs/ square inch
more likely to cause
structural damage
to nerves, vessels, joints
cat
bites
penetrate bones and joints, and cause septic arthritis and osteomyelitis
small,
sharp
teeth cause puncture wounds that seal immediately
penetrate joints and flexor tendons
higher risk for infection
than dog bites
microbiology
most infections are polymicrobial, with > 1 anerobe
most common isolate from both cats and dogs is Pasteurella sp.
gram-negative, facultative, anaerobic, pleomorphic coccobacillus
inform lab about potential for Pasteurella
cultures require appropriate growth media and take 1wk to grow
dog bites
Pasteurella (50% of dog bite infections)
Pasteurella canis
Staphylococcus aureus
Streptococcus alpha-hemolytic
Corynebacterium
anerobes (e.g. Bacteroides)
Capnocytophaga canimorsus
rare, potentially fatal (in splenectomy patients)
causes cellulitis, sepsis, endocarditis, meningitis, DIC, ARDS and death
highest mortality in immunocompromised (30-60%)
cat bites
Pasteurella
(
most common
, 70-80% of cat bite infections)
Pasteurella multocida
and
Pasteurella septica
causes intense pain, swelling in 48h
other organisms similar to dog bites
Associated conditions
secondary bacterial infection
most bites do not become infected
risk factors for infection
bite to hand, foot, or major joint
puncture wounds or crush injuries
treatment delay >12h
age >50y
preexisting host disease
immune suppression (steroids, asplenism)
chronic alcoholism
diabetes mellitus
vascular disease
existing edema of extremity
rabies
caused by a rhabdovirus
common animal carriers include dogs, raccoons, bats, foxes
increased risk with open wounds, scratches/abrasions, mucous membranes","pain and swelling
bleeding
signs of local or systemic sepsis"
https://www.orthobullets.com/spine/2057/cerebral-palsy--spinal-disorders,"See
Cerebral Palsy General
Pathophysiology
muscle weakness and truncal imbalance has been implicated as primary etiology (little evidence to support)
pelvic obliquity
leads to deforming forces on spine and scoliosis
Associated conditions
Scoliosis in patients with cerebral palsy
differs from idiopathic scoliosis
in that
curves are
more likely to progress
(scoliosis progresses 1° to 2° per month starting at age 8 to 10 years)
curve begins at earlier age
curve is a long, stiff C-shaped curve
left sided curves are not uncommon
curve has greater sagittal plane deformity (kyphotic or lordotic)
associated with pelvic obliquity,
skeletal maturity is delayed in CP
bracing is less effective
longer fusions to the pelvis are often necessary
patients are more medically fragile and a multi-disciplinary approach is often necessary",
https://www.orthobullets.com/basic-science/9004/bone-marrow,,
https://www.orthobullets.com/anatomy/10009/teres-major,,
https://www.orthobullets.com/shoulder-and-elbow/422742/shoulder-periprosthetic-fracture,"Pathophysiology
intraoperative fractures occur most often during revision total shoulder arthroplasty
greater exposure
required during these procedures
increased scarring in the subacromial space and around the rotator cuff
increased soft-tissue retraction and greater torque placed on humerus
removing previous implant (up to 81% of intraoperative fractures)
metaphyseal filling implants -> increased risk of greater tuberosity fractures
bone loss from cement removal
bone loss from disengagement of the bone-implant interface
diaphyseal-engaging stems -> greater tuberosity fractures
stress shielding of the metaphysis
methods to prevent:
clearing soft-tissue from lateral portion of implant
use of implant specific removal instruments
controlled corticotomy
other mechanisms of intraoperative fractures:
reaming or broaching (up to 31% of intraoperative fracture)
implant trialing or insertion (up to 19% of cases)
during exposure (up to 15% of cases)
forceful retractor placement
primary total shoulder arthroplasty has a lower risk for intraoperative fracture
factors associated with primary intraoperative fractures
endosteal notching from reaming
excessive humeral external rotation
during exposure
cortical breaching during reaming or broaching
especially in ostepenic bone
post-operative fractures can occur as a result of a fall or fatigue fracture through a stress riser
fall on outstretched hand
tip of prosthesis acts as a stress riser
most postoperative fractrues as a result occur at or adjacent the tip of the prosthesis stem
atraumatic due to prosthetic loosening
cortical weakening from implant ""rattling"" inside medullary canal
high risk of nonunion
prosthesis
disrupts endosteal blood supply
impairing fracture revascularization and healing
prosthetic
stem distracts the two fragments
preventing end-to-end healing
Associated conditions
nonunion
osteoporosis
RA
female sex
displacement >2 mm
presence of
cement at fracture site","common symptoms
acute pain in the upper arm
prodromal pain maybe present in patients with mechanically loose implants
gross deformity"
https://www.orthobullets.com/recon/12768/pelvis-anatomy,,
https://www.orthobullets.com/hand/6010/intrinsic-minus-hand-claw-hand,"Pathophysiology
ulnar nerve palsy
cubital tunnel syndrome
ulnar tunnel syndrome
median nerve palsy
Volkmann's ischemic contracture
leprosy (Hansen's disease)
failure to splint the hand in an intrinsic-plus posture following a crush injury
Charcot-Marie-Tooth disease (hereditary motor-sensory neuropathy)
compartment syndrome of the hand",decreased hand function
https://www.orthobullets.com/pathology/8060/calcifying-aponeurotic-fibroma,,painless slow growing mass in hands and feet
https://www.orthobullets.com/hand/6111/hook-nail-deformity,"Pathophysiology
can be caused by
tight closure of the fingertip during treatment fo distal tip amputation
loss of bony support under the nail bed causing volar sloping of the nail bed","common symptoms
painless
complaint is typically cosmetic in nature
can become painful if it becomes in-grown"
https://www.orthobullets.com/hand/6006/extensor-tendon-compartments,,
https://www.orthobullets.com/anatomy/10098/adductor-hallucis,,
https://www.orthobullets.com/anatomy/10023/palmaris-longus,,
https://www.orthobullets.com/anatomy/10019/brachioradialis,,
https://www.orthobullets.com/pediatrics/4039/congenital-pseudoarthrosis-of-clavicle,"Pathophysiology
postulated to be due to extrinsic compression by the subclavian artery
Genetics
no clear genetic involvement",usually asymptomatic
https://www.orthobullets.com/anatomy/10022/flexor-carpi-radialis,,
https://www.orthobullets.com/recon/12749/tka-patellar-prosthesis-loosening,"Cause
subclinical infection
maltracking or overstuffing, leading to high shear
Risks
obesity
lateral release
joint-line elevation
postoperative flexion >100°
poor bone stock
asymmetric patellar resection
inadequate implant fixation (small pegs)
secondary osteonecrosis and osteolysis
performance of a medial arthrotomy and lateral retinacular release can disrupt up to 75% of patellar perfusion",persistnent knee pain
https://www.orthobullets.com/pediatrics/4079/oligodactyly,"Pathophysiology
pathoanatomy
due to improper differentiation of the apical ectodermal ridge during 1st trimester of pregnancy
thought to be caused by
teratogenic insults
impaired blood flow
amniotic bands
Genetics
positive family history in some cases
sporadic in others
Associated conditions
orthopaedic
fibular hemimelia
tarsal coalition
hand & foot abnormalities
polydactyly
syndactyly
constriction rings
brachdactyly
medical
associated with a number of syndromes including
VACTERL
Fanconi","usually painless
may present with discomfort during shoe wear"
https://www.orthobullets.com/anatomy/10100/plantar-interossei,,
https://www.orthobullets.com/trauma/1067/gas-gangrene,"Pathophysiology
Clostridial species
Clostridium perfringens (most common),
Clostridium novyi, Clostridium septicum
found in soil and gut flora
gram-positive obligate anaerobic spore-forming rods that produce
exotoxins
(e.g. C. perfringens alpha toxin)
causes muscle necrosis and vessel thrombosis
can cause hemolysis and shock
incubation period <24h
gas
produced by fermentation of glucose
main component is nitrogen
other bacteria include
E. coli, Pseudomonas aeruginosa, Proteus species, Klebsiella pneumoniae","triad
sudden progressive
pain
out of proportion to injury
from thrombotic occlusion of large vessels
tachycardia
not explained by fever
feeling of
impending doom"
https://www.orthobullets.com/hand/6092/giant-cell-tumor-of-tendon-sheath,,"enlarging mass
pain, worse with activity (or wearing shoes, for foot lesions)"
https://www.orthobullets.com/anatomy/10032/extensor-digitorum-communis,,
https://www.orthobullets.com/pathology/8034/hemangioendothelioma-hemangiosarcoma,"Pathophysiology
pathoanatomy
arise from the
lining of blood vessels
cellular biology
distinct histologically and molecularly from benign hemangioma and high-grade angiosarcoma
stratified into two groups based on size of tumor and mitotic activity
classic
malignant","local pain
not usually associated with swelling"
https://www.orthobullets.com/anatomy/10085/gastrocnemius,,
https://www.orthobullets.com/pediatrics/4120/patella-sleeve-fracture,"Pathophysiology
mechanism of injury
indirect injury caused by powerful contraction of the quadriceps muscle applied to a flexed knee
pathoanatomy
separation between the cartilage ""sleeve"" and main part of the patella and ossific nucleus","severe knee pain
inability to bear weight"
https://www.orthobullets.com/shoulder-and-elbow/3036/os-acromiale,"Associated conditions
shoulder impingement
rotator cuff disease
meso-acromion is associated with rotator cuff tendonitis and full thickness tears (in 50%)",
https://www.orthobullets.com/anatomy/10053/psoas,,
https://www.orthobullets.com/anatomy/10136/axillary-nerve,,
https://www.orthobullets.com/anatomy/10128/quadrangular-space-triangular-space-triangular-interval,,
https://www.orthobullets.com/anatomy/10072/biceps-femoris-short-head,,
https://www.orthobullets.com/spine/2074/closed-cervical-traction,,
https://www.orthobullets.com/anatomy/10066/adductor-brevis,,
https://www.orthobullets.com/pathology/8028/histiocytoma-benign-fibrous-histiocytoma,,pain and swelling
https://www.orthobullets.com/anatomy/10075/obturator-internus,,
https://www.orthobullets.com/spine/2049/atlantoaxial-instability,,"symptomatic
neck pain
neurologic symptoms"
https://www.orthobullets.com/anatomy/10062/gluteus-medius,,
